,ROI1 number,region1,ROI2 number,region2
58,77,Left Inferior Temporal Gyrus; temporooccipital part,53,Right Occipital Fusiform Gyrus
59,43,Right Cingulate Gyrus; posterior division,36,Right Lateral Occipital Cortex; inferior division
60,57,Right Planum Polare,71,Left Superior Temporal Gyrus; posterior division
61,31,Right Superior Parietal Lobule,7,Right Thalamus
62,35,Right Lateral Occipital Cortex; superior division,41,Right Paracingulate Gyrus
63,76,Left Inferior Temporal Gyrus; posterior division,91,Left Cingulate Gyrus; posterior division
64,62,Left Frontal Pole,103,Left Central Opercular Cortex
65,11,Right Hippocampus,11,Right Hippocampus
66,34,Right Angular Gyrus,104,Left Parietal Operculum Cortex
67,38,Right Frontal Medial Cortex,7,Right Thalamus
68,76,Left Inferior Temporal Gyrus; posterior division,51,Right Temporal Fusiform Cortex; posterior division
69,31,Right Superior Parietal Lobule,89,Left Paracingulate Gyrus
70,62,Left Frontal Pole,15,Right Insular Cortex
71,33,Right Supramarginal Gyrus; posterior division,33,Right Supramarginal Gyrus; posterior division
72,29,Right Inferior Temporal Gyrus; temporooccipital part,82,Left Angular Gyrus
73,11,Right Hippocampus,89,Left Paracingulate Gyrus
74,11,Right Hippocampus,86,Left Frontal Medial Cortex
75,31,Right Superior Parietal Lobule,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
76,31,Right Superior Parietal Lobule,35,Right Lateral Occipital Cortex; superior division
77,57,Right Planum Polare,66,Left Inferior Frontal Gyrus; pars triangularis
78,11,Right Hippocampus,41,Right Paracingulate Gyrus
79,11,Right Hippocampus,40,Right Subcallosal Cortex
80,11,Right Hippocampus,36,Right Lateral Occipital Cortex; inferior division
81,11,Right Hippocampus,34,Right Angular Gyrus
82,31,Right Superior Parietal Lobule,36,Right Lateral Occipital Cortex; inferior division
83,77,Left Inferior Temporal Gyrus; temporooccipital part,67,Left Inferior Frontal Gyrus; pars opercularis
84,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),7,Right Thalamus
85,35,Right Lateral Occipital Cortex; superior division,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
86,62,Left Frontal Pole,86,Left Frontal Medial Cortex
87,4,Left Hippocampus,39,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
88,76,Left Inferior Temporal Gyrus; posterior division,76,Left Inferior Temporal Gyrus; posterior division
89,31,Right Superior Parietal Lobule,11,Right Hippocampus
90,33,Right Supramarginal Gyrus; posterior division,105,Left Planum Polare
91,43,Right Cingulate Gyrus; posterior division,41,Right Paracingulate Gyrus
92,35,Right Lateral Occipital Cortex; superior division,36,Right Lateral Occipital Cortex; inferior division
93,43,Right Cingulate Gyrus; posterior division,35,Right Lateral Occipital Cortex; superior division
94,35,Right Lateral Occipital Cortex; superior division,24,Right Middle Temporal Gyrus; anterior division
95,11,Right Hippocampus,5,Left Amygdala
96,11,Right Hippocampus,25,Right Middle Temporal Gyrus; posterior division
97,11,Right Hippocampus,29,Right Inferior Temporal Gyrus; temporooccipital part
98,11,Right Hippocampus,37,Right Intracalcarine Cortex
99,11,Right Hippocampus,47,Right Parahippocampal Gyrus; anterior division
100,62,Left Frontal Pole,14,Right Frontal Pole
101,13,Right Accumbens,19,Right Inferior Frontal Gyrus; pars opercularis
102,29,Right Inferior Temporal Gyrus; temporooccipital part,74,Left Middle Temporal Gyrus; temporooccipital part
103,13,Right Accumbens,62,Left Frontal Pole
104,53,Right Occipital Fusiform Gyrus,53,Right Occipital Fusiform Gyrus
105,6,Left Accumbens,63,Left Insular Cortex
106,104,Left Parietal Operculum Cortex,102,Left Frontal Operculum Cortex
107,17,Right Middle Frontal Gyrus,29,Right Inferior Temporal Gyrus; temporooccipital part
108,6,Left Accumbens,36,Right Lateral Occipital Cortex; inferior division
109,31,Right Superior Parietal Lobule,74,Left Middle Temporal Gyrus; temporooccipital part
110,6,Left Accumbens,8,Right Caudate
111,89,Left Paracingulate Gyrus,41,Right Paracingulate Gyrus
112,68,Left Precentral Gyrus,62,Left Frontal Pole
113,37,Right Intracalcarine Cortex,15,Right Insular Cortex
114,37,Right Intracalcarine Cortex,19,Right Inferior Frontal Gyrus; pars opercularis
115,3,Left Pallidum,105,Left Planum Polare
116,57,Right Planum Polare,73,Left Middle Temporal Gyrus; posterior division
117,29,Right Inferior Temporal Gyrus; temporooccipital part,86,Left Frontal Medial Cortex
118,29,Right Inferior Temporal Gyrus; temporooccipital part,89,Left Paracingulate Gyrus
119,31,Right Superior Parietal Lobule,0,Left Thalamus
120,57,Right Planum Polare,72,Left Middle Temporal Gyrus; anterior division
121,69,Left Temporal Pole,62,Left Frontal Pole
122,3,Left Pallidum,17,Right Middle Frontal Gyrus
123,76,Left Inferior Temporal Gyrus; posterior division,97,Left Lingual Gyrus
124,3,Left Pallidum,102,Left Frontal Operculum Cortex
125,66,Left Inferior Frontal Gyrus; pars triangularis,62,Left Frontal Pole
126,69,Left Temporal Pole,36,Right Lateral Occipital Cortex; inferior division
127,75,Left Inferior Temporal Gyrus; anterior division,18,Right Inferior Frontal Gyrus; pars triangularis
128,29,Right Inferior Temporal Gyrus; temporooccipital part,7,Right Thalamus
129,76,Left Inferior Temporal Gyrus; posterior division,18,Right Inferior Frontal Gyrus; pars triangularis
130,29,Right Inferior Temporal Gyrus; temporooccipital part,17,Right Middle Frontal Gyrus
131,29,Right Inferior Temporal Gyrus; temporooccipital part,29,Right Inferior Temporal Gyrus; temporooccipital part
132,3,Left Pallidum,55,Right Central Opercular Cortex
133,29,Right Inferior Temporal Gyrus; temporooccipital part,53,Right Occipital Fusiform Gyrus
134,28,Right Inferior Temporal Gyrus; posterior division,55,Right Central Opercular Cortex
135,76,Left Inferior Temporal Gyrus; posterior division,42,Right Cingulate Gyrus; anterior division
136,74,Left Middle Temporal Gyrus; temporooccipital part,62,Left Frontal Pole
137,29,Right Inferior Temporal Gyrus; temporooccipital part,58,Right Heschl's Gyrus (includes H1 and H2)
138,76,Left Inferior Temporal Gyrus; posterior division,44,Right Precuneous Cortex
139,68,Left Precentral Gyrus,3,Left Pallidum
140,75,Left Inferior Temporal Gyrus; anterior division,66,Left Inferior Frontal Gyrus; pars triangularis
141,76,Left Inferior Temporal Gyrus; posterior division,53,Right Occipital Fusiform Gyrus
142,76,Left Inferior Temporal Gyrus; posterior division,56,Right Parietal Operculum Cortex
143,3,Left Pallidum,76,Left Inferior Temporal Gyrus; posterior division
144,3,Left Pallidum,77,Left Inferior Temporal Gyrus; temporooccipital part
145,37,Right Intracalcarine Cortex,62,Left Frontal Pole
146,29,Right Inferior Temporal Gyrus; temporooccipital part,65,Left Middle Frontal Gyrus
147,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),31,Right Superior Parietal Lobule
148,76,Left Inferior Temporal Gyrus; posterior division,106,Left Heschl's Gyrus (includes H1 and H2)
149,89,Left Paracingulate Gyrus,29,Right Inferior Temporal Gyrus; temporooccipital part
150,89,Left Paracingulate Gyrus,34,Right Angular Gyrus
151,89,Left Paracingulate Gyrus,40,Right Subcallosal Cortex
152,89,Left Paracingulate Gyrus,42,Right Cingulate Gyrus; anterior division
153,89,Left Paracingulate Gyrus,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
154,89,Left Paracingulate Gyrus,88,Left Subcallosal Cortex
155,89,Left Paracingulate Gyrus,89,Left Paracingulate Gyrus
156,53,Right Occipital Fusiform Gyrus,97,Left Lingual Gyrus
157,53,Right Occipital Fusiform Gyrus,66,Left Inferior Frontal Gyrus; pars triangularis
158,43,Right Cingulate Gyrus; posterior division,105,Left Planum Polare
159,13,Right Accumbens,48,Right Parahippocampal Gyrus; posterior division
160,13,Right Accumbens,45,Right Cuneal Cortex
161,6,Left Accumbens,89,Left Paracingulate Gyrus
162,13,Right Accumbens,29,Right Inferior Temporal Gyrus; temporooccipital part
163,13,Right Accumbens,13,Right Accumbens
164,13,Right Accumbens,8,Right Caudate
165,11,Right Hippocampus,59,Right Planum Temporale
166,43,Right Cingulate Gyrus; posterior division,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
167,43,Right Cingulate Gyrus; posterior division,86,Left Frontal Medial Cortex
168,11,Right Hippocampus,27,Right Inferior Temporal Gyrus; anterior division
169,11,Right Hippocampus,4,Left Hippocampus
170,43,Right Cingulate Gyrus; posterior division,22,Right Superior Temporal Gyrus; anterior division
171,43,Right Cingulate Gyrus; posterior division,24,Right Middle Temporal Gyrus; anterior division
172,43,Right Cingulate Gyrus; posterior division,62,Left Frontal Pole
173,43,Right Cingulate Gyrus; posterior division,29,Right Inferior Temporal Gyrus; temporooccipital part
174,43,Right Cingulate Gyrus; posterior division,34,Right Angular Gyrus
175,8,Right Caudate,62,Left Frontal Pole
176,8,Right Caudate,41,Right Paracingulate Gyrus
177,8,Right Caudate,36,Right Lateral Occipital Cortex; inferior division
178,16,Right Superior Frontal Gyrus,77,Left Inferior Temporal Gyrus; temporooccipital part
179,8,Right Caudate,8,Right Caudate
180,17,Right Middle Frontal Gyrus,16,Right Superior Frontal Gyrus
181,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),86,Left Frontal Medial Cortex
182,77,Left Inferior Temporal Gyrus; temporooccipital part,18,Right Inferior Frontal Gyrus; pars triangularis
183,77,Left Inferior Temporal Gyrus; temporooccipital part,41,Right Paracingulate Gyrus
184,77,Left Inferior Temporal Gyrus; temporooccipital part,51,Right Temporal Fusiform Cortex; posterior division
185,77,Left Inferior Temporal Gyrus; temporooccipital part,55,Right Central Opercular Cortex
186,77,Left Inferior Temporal Gyrus; temporooccipital part,66,Left Inferior Frontal Gyrus; pars triangularis
187,77,Left Inferior Temporal Gyrus; temporooccipital part,71,Left Superior Temporal Gyrus; posterior division
188,4,Left Hippocampus,38,Right Frontal Medial Cortex
189,77,Left Inferior Temporal Gyrus; temporooccipital part,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
190,4,Left Hippocampus,47,Right Parahippocampal Gyrus; anterior division
191,77,Left Inferior Temporal Gyrus; temporooccipital part,109,Left Occipital Pole
192,104,Left Parietal Operculum Cortex,77,Left Inferior Temporal Gyrus; temporooccipital part
193,78,Left Postcentral Gyrus,55,Right Central Opercular Cortex
194,79,Left Superior Parietal Lobule,62,Left Frontal Pole
195,57,Right Planum Polare,19,Right Inferior Frontal Gyrus; pars opercularis
196,104,Left Parietal Operculum Cortex,29,Right Inferior Temporal Gyrus; temporooccipital part
197,57,Right Planum Polare,2,Left Putamen
198,104,Left Parietal Operculum Cortex,12,Right Amygdala
199,40,Right Subcallosal Cortex,1,Left Caudate
200,31,Right Superior Parietal Lobule,10,Right Pallidum
201,17,Right Middle Frontal Gyrus,109,Left Occipital Pole
202,17,Right Middle Frontal Gyrus,108,Left Supracalcarine Cortex
203,17,Right Middle Frontal Gyrus,105,Left Planum Polare
204,17,Right Middle Frontal Gyrus,94,Left Frontal Orbital Cortex
205,17,Right Middle Frontal Gyrus,77,Left Inferior Temporal Gyrus; temporooccipital part
206,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),47,Right Parahippocampal Gyrus; anterior division
207,17,Right Middle Frontal Gyrus,55,Right Central Opercular Cortex
208,17,Right Middle Frontal Gyrus,54,Right Frontal Operculum Cortex
209,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),77,Left Inferior Temporal Gyrus; temporooccipital part
210,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),82,Left Angular Gyrus
211,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
212,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),1,Left Caudate
213,4,Left Hippocampus,0,Left Thalamus
214,62,Left Frontal Pole,46,Right Frontal Orbital Cortex
215,0,Left Thalamus,103,Left Central Opercular Cortex
216,34,Right Angular Gyrus,32,Right Supramarginal Gyrus; anterior division
217,63,Left Insular Cortex,24,Right Middle Temporal Gyrus; anterior division
218,35,Right Lateral Occipital Cortex; superior division,86,Left Frontal Medial Cortex
219,31,Right Superior Parietal Lobule,51,Right Temporal Fusiform Cortex; posterior division
220,33,Right Supramarginal Gyrus; posterior division,77,Left Inferior Temporal Gyrus; temporooccipital part
221,62,Left Frontal Pole,60,Right Supracalcarine Cortex
222,35,Right Lateral Occipital Cortex; superior division,78,Left Postcentral Gyrus
223,35,Right Lateral Occipital Cortex; superior division,94,Left Frontal Orbital Cortex
224,33,Right Supramarginal Gyrus; posterior division,103,Left Central Opercular Cortex
225,35,Right Lateral Occipital Cortex; superior division,19,Right Inferior Frontal Gyrus; pars opercularis
226,0,Left Thalamus,17,Right Middle Frontal Gyrus
227,34,Right Angular Gyrus,103,Left Central Opercular Cortex
228,62,Left Frontal Pole,25,Right Middle Temporal Gyrus; posterior division
229,33,Right Supramarginal Gyrus; posterior division,104,Left Parietal Operculum Cortex
230,32,Right Supramarginal Gyrus; anterior division,32,Right Supramarginal Gyrus; anterior division
231,34,Right Angular Gyrus,0,Left Thalamus
232,34,Right Angular Gyrus,78,Left Postcentral Gyrus
233,62,Left Frontal Pole,1,Left Caudate
234,62,Left Frontal Pole,4,Left Hippocampus
235,62,Left Frontal Pole,104,Left Parietal Operculum Cortex
236,62,Left Frontal Pole,8,Right Caudate
237,35,Right Lateral Occipital Cortex; superior division,100,Left Temporal Occipital Fusiform Cortex
238,34,Right Angular Gyrus,36,Right Lateral Occipital Cortex; inferior division
239,31,Right Superior Parietal Lobule,65,Left Middle Frontal Gyrus
240,35,Right Lateral Occipital Cortex; superior division,77,Left Inferior Temporal Gyrus; temporooccipital part
241,31,Right Superior Parietal Lobule,24,Right Middle Temporal Gyrus; anterior division
242,33,Right Supramarginal Gyrus; posterior division,36,Right Lateral Occipital Cortex; inferior division
243,0,Left Thalamus,61,Right Occipital Pole
244,35,Right Lateral Occipital Cortex; superior division,40,Right Subcallosal Cortex
245,33,Right Supramarginal Gyrus; posterior division,32,Right Supramarginal Gyrus; anterior division
246,69,Left Temporal Pole,69,Left Temporal Pole
247,13,Right Accumbens,83,Left Lateral Occipital Cortex; superior division
248,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),46,Right Frontal Orbital Cortex
249,104,Left Parietal Operculum Cortex,104,Left Parietal Operculum Cortex
250,76,Left Inferior Temporal Gyrus; posterior division,77,Left Inferior Temporal Gyrus; temporooccipital part
251,0,Left Thalamus,102,Left Frontal Operculum Cortex
252,43,Right Cingulate Gyrus; posterior division,89,Left Paracingulate Gyrus
253,13,Right Accumbens,68,Left Precentral Gyrus
254,33,Right Supramarginal Gyrus; posterior division,102,Left Frontal Operculum Cortex
255,3,Left Pallidum,106,Left Heschl's Gyrus (includes H1 and H2)
256,43,Right Cingulate Gyrus; posterior division,78,Left Postcentral Gyrus
257,38,Right Frontal Medial Cortex,11,Right Hippocampus
258,43,Right Cingulate Gyrus; posterior division,37,Right Intracalcarine Cortex
259,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),45,Right Cuneal Cortex
260,69,Left Temporal Pole,105,Left Planum Polare
261,89,Left Paracingulate Gyrus,86,Left Frontal Medial Cortex
262,35,Right Lateral Occipital Cortex; superior division,0,Left Thalamus
263,34,Right Angular Gyrus,66,Left Inferior Frontal Gyrus; pars triangularis
264,43,Right Cingulate Gyrus; posterior division,42,Right Cingulate Gyrus; anterior division
265,105,Left Planum Polare,32,Right Supramarginal Gyrus; anterior division
266,35,Right Lateral Occipital Cortex; superior division,42,Right Cingulate Gyrus; anterior division
267,53,Right Occipital Fusiform Gyrus,15,Right Insular Cortex
268,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),85,Left Intracalcarine Cortex
269,62,Left Frontal Pole,96,Left Parahippocampal Gyrus; posterior division
270,77,Left Inferior Temporal Gyrus; temporooccipital part,108,Left Supracalcarine Cortex
271,28,Right Inferior Temporal Gyrus; posterior division,76,Left Inferior Temporal Gyrus; posterior division
272,57,Right Planum Polare,75,Left Inferior Temporal Gyrus; anterior division
273,37,Right Intracalcarine Cortex,67,Left Inferior Frontal Gyrus; pars opercularis
274,57,Right Planum Polare,30,Right Postcentral Gyrus
275,11,Right Hippocampus,35,Right Lateral Occipital Cortex; superior division
276,8,Right Caudate,29,Right Inferior Temporal Gyrus; temporooccipital part
277,11,Right Hippocampus,30,Right Postcentral Gyrus
278,37,Right Intracalcarine Cortex,35,Right Lateral Occipital Cortex; superior division
279,76,Left Inferior Temporal Gyrus; posterior division,67,Left Inferior Frontal Gyrus; pars opercularis
280,89,Left Paracingulate Gyrus,51,Right Temporal Fusiform Cortex; posterior division
281,35,Right Lateral Occipital Cortex; superior division,67,Left Inferior Frontal Gyrus; pars opercularis
282,35,Right Lateral Occipital Cortex; superior division,88,Left Subcallosal Cortex
283,34,Right Angular Gyrus,35,Right Lateral Occipital Cortex; superior division
284,16,Right Superior Frontal Gyrus,102,Left Frontal Operculum Cortex
285,92,Left Precuneous Cortex,66,Left Inferior Frontal Gyrus; pars triangularis
286,4,Left Hippocampus,31,Right Superior Parietal Lobule
287,29,Right Inferior Temporal Gyrus; temporooccipital part,31,Right Superior Parietal Lobule
288,29,Right Inferior Temporal Gyrus; temporooccipital part,78,Left Postcentral Gyrus
289,78,Left Postcentral Gyrus,77,Left Inferior Temporal Gyrus; temporooccipital part
290,77,Left Inferior Temporal Gyrus; temporooccipital part,75,Left Inferior Temporal Gyrus; anterior division
291,66,Left Inferior Frontal Gyrus; pars triangularis,63,Left Insular Cortex
292,31,Right Superior Parietal Lobule,39,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
293,33,Right Supramarginal Gyrus; posterior division,29,Right Inferior Temporal Gyrus; temporooccipital part
294,89,Left Paracingulate Gyrus,22,Right Superior Temporal Gyrus; anterior division
295,78,Left Postcentral Gyrus,29,Right Inferior Temporal Gyrus; temporooccipital part
296,77,Left Inferior Temporal Gyrus; temporooccipital part,70,Left Superior Temporal Gyrus; anterior division
297,0,Left Thalamus,105,Left Planum Polare
298,31,Right Superior Parietal Lobule,41,Right Paracingulate Gyrus
299,17,Right Middle Frontal Gyrus,76,Left Inferior Temporal Gyrus; posterior division
300,17,Right Middle Frontal Gyrus,104,Left Parietal Operculum Cortex
301,78,Left Postcentral Gyrus,102,Left Frontal Operculum Cortex
302,35,Right Lateral Occipital Cortex; superior division,10,Right Pallidum
303,29,Right Inferior Temporal Gyrus; temporooccipital part,94,Left Frontal Orbital Cortex
304,38,Right Frontal Medial Cortex,31,Right Superior Parietal Lobule
305,77,Left Inferior Temporal Gyrus; temporooccipital part,10,Right Pallidum
306,62,Left Frontal Pole,74,Left Middle Temporal Gyrus; temporooccipital part
307,31,Right Superior Parietal Lobule,59,Right Planum Temporale
308,32,Right Supramarginal Gyrus; anterior division,102,Left Frontal Operculum Cortex
309,6,Left Accumbens,29,Right Inferior Temporal Gyrus; temporooccipital part
310,31,Right Superior Parietal Lobule,64,Left Superior Frontal Gyrus
311,105,Left Planum Polare,22,Right Superior Temporal Gyrus; anterior division
312,79,Left Superior Parietal Lobule,41,Right Paracingulate Gyrus
313,57,Right Planum Polare,74,Left Middle Temporal Gyrus; temporooccipital part
314,4,Left Hippocampus,37,Right Intracalcarine Cortex
315,62,Left Frontal Pole,39,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
316,104,Left Parietal Operculum Cortex,73,Left Middle Temporal Gyrus; posterior division
317,11,Right Hippocampus,94,Left Frontal Orbital Cortex
318,35,Right Lateral Occipital Cortex; superior division,72,Left Middle Temporal Gyrus; anterior division
319,62,Left Frontal Pole,106,Left Heschl's Gyrus (includes H1 and H2)
320,38,Right Frontal Medial Cortex,0,Left Thalamus
321,34,Right Angular Gyrus,61,Right Occipital Pole
322,32,Right Supramarginal Gyrus; anterior division,7,Right Thalamus
323,75,Left Inferior Temporal Gyrus; anterior division,97,Left Lingual Gyrus
324,94,Left Frontal Orbital Cortex,109,Left Occipital Pole
325,76,Left Inferior Temporal Gyrus; posterior division,41,Right Paracingulate Gyrus
326,103,Left Central Opercular Cortex,10,Right Pallidum
327,57,Right Planum Polare,80,Left Supramarginal Gyrus; anterior division
328,46,Right Frontal Orbital Cortex,9,Right Putamen
329,77,Left Inferior Temporal Gyrus; temporooccipital part,106,Left Heschl's Gyrus (includes H1 and H2)
330,79,Left Superior Parietal Lobule,63,Left Insular Cortex
331,4,Left Hippocampus,34,Right Angular Gyrus
332,57,Right Planum Polare,77,Left Inferior Temporal Gyrus; temporooccipital part
333,3,Left Pallidum,61,Right Occipital Pole
334,32,Right Supramarginal Gyrus; anterior division,29,Right Inferior Temporal Gyrus; temporooccipital part
335,79,Left Superior Parietal Lobule,73,Left Middle Temporal Gyrus; posterior division
336,46,Right Frontal Orbital Cortex,6,Left Accumbens
337,79,Left Superior Parietal Lobule,15,Right Insular Cortex
338,17,Right Middle Frontal Gyrus,12,Right Amygdala
339,78,Left Postcentral Gyrus,105,Left Planum Polare
340,77,Left Inferior Temporal Gyrus; temporooccipital part,34,Right Angular Gyrus
341,92,Left Precuneous Cortex,91,Left Cingulate Gyrus; posterior division
342,35,Right Lateral Occipital Cortex; superior division,89,Left Paracingulate Gyrus
343,57,Right Planum Polare,70,Left Superior Temporal Gyrus; anterior division
344,3,Left Pallidum,103,Left Central Opercular Cortex
345,3,Left Pallidum,104,Left Parietal Operculum Cortex
346,63,Left Insular Cortex,63,Left Insular Cortex
347,63,Left Insular Cortex,62,Left Frontal Pole
348,79,Left Superior Parietal Lobule,1,Left Caudate
349,13,Right Accumbens,104,Left Parietal Operculum Cortex
350,4,Left Hippocampus,59,Right Planum Temporale
351,4,Left Hippocampus,5,Left Amygdala
352,17,Right Middle Frontal Gyrus,2,Left Putamen
353,4,Left Hippocampus,78,Left Postcentral Gyrus
354,35,Right Lateral Occipital Cortex; superior division,70,Left Superior Temporal Gyrus; anterior division
355,13,Right Accumbens,69,Left Temporal Pole
356,34,Right Angular Gyrus,44,Right Precuneous Cortex
357,6,Left Accumbens,86,Left Frontal Medial Cortex
358,16,Right Superior Frontal Gyrus,17,Right Middle Frontal Gyrus
359,89,Left Paracingulate Gyrus,75,Left Inferior Temporal Gyrus; anterior division
360,76,Left Inferior Temporal Gyrus; posterior division,109,Left Occipital Pole
361,38,Right Frontal Medial Cortex,38,Right Frontal Medial Cortex
362,89,Left Paracingulate Gyrus,32,Right Supramarginal Gyrus; anterior division
363,62,Left Frontal Pole,41,Right Paracingulate Gyrus
364,35,Right Lateral Occipital Cortex; superior division,71,Left Superior Temporal Gyrus; posterior division
365,17,Right Middle Frontal Gyrus,103,Left Central Opercular Cortex
366,34,Right Angular Gyrus,39,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
367,104,Left Parietal Operculum Cortex,109,Left Occipital Pole
368,13,Right Accumbens,63,Left Insular Cortex
369,77,Left Inferior Temporal Gyrus; temporooccipital part,56,Right Parietal Operculum Cortex
370,79,Left Superior Parietal Lobule,8,Right Caudate
371,32,Right Supramarginal Gyrus; anterior division,55,Right Central Opercular Cortex
372,104,Left Parietal Operculum Cortex,105,Left Planum Polare
373,32,Right Supramarginal Gyrus; anterior division,44,Right Precuneous Cortex
374,6,Left Accumbens,4,Left Hippocampus
375,8,Right Caudate,4,Left Hippocampus
376,34,Right Angular Gyrus,67,Left Inferior Frontal Gyrus; pars opercularis
377,29,Right Inferior Temporal Gyrus; temporooccipital part,47,Right Parahippocampal Gyrus; anterior division
378,31,Right Superior Parietal Lobule,47,Right Parahippocampal Gyrus; anterior division
